Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,linf,zhang_2020_small,art_bim_minimal,99.4(0.09672326613877931),0.0457,4.54,0.135,0.798,99.9(0.49084025662149783),0.2543,25.42,0.0,0.938,99.9(0.1313792129130481),0.2949,29.48,0.014,0.929,99.9(0.2873258063760879),51.6258,5159.4,0.053,0.845,99.3(0.11604230758652102),0.0252,2.51,0.208,0.879,0.068,0.863
cifar10,128,linf,zhang_2020_small,art_pgd_minimal,99.4(0.09671694929475524),0.2251,22.37,0.135,0.798,99.9(0.4908024897004521),0.2525,25.23,0.0,0.937,99.9(0.13143681760714784),0.2953,29.51,0.014,0.929,99.8(0.2846537347183917),1.6764,167.33,0.053,0.84,99.3(0.1159781876016395),0.0252,2.5,0.208,0.876,0.041,0.861
cifar10,128,linf,zhang_2020_small,ta_apgd_minimal,99.7(0.09386549689637978),0.2302,22.96,0.134,0.797,100.0(0.49087802420750504),0.2668,26.68,0.0,0.988,100.0(0.13126441019907797),0.2458,24.57,0.019,0.802,100.0(0.28446121137049796),0.8235,82.32,0.072,0.836,100.0(0.11194518766881803),0.0248,2.48,0.208,0.876,0.091,0.828
cifar10,128,linf,zhang_2020_small,original_apgd_minimal,99.7(0.09386549689637978),0.2302,22.96,0.134,0.797,100.0(0.49087802420750504),0.2668,26.68,0.0,0.988,100.0(0.13126441019907797),0.2458,24.57,0.019,0.802,100.0(0.28446121137049796),0.8235,82.32,0.072,0.836,100.0(0.11194518766881803),0.0248,2.48,0.208,0.876,0.085,0.828
cifar10,128,linf,zhang_2020_small,dr_pgd_minimal,99.8(0.09338007163208732),0.235,23.45,0.127,0.815,100.0(0.4908592300914246),0.2585,25.84,0.0,0.943,100.0(0.1310915872532526),0.334,33.4,0.013,0.948,99.3(0.28531402365915726),1.8066,179.36,0.056,0.725,95.5(0.13603836150620816),0.0237,2.27,0.236,0.777,0.037,0.816
cifar10,128,linf,zhang_2020_small,fb_pgd_minimal,99.8(0.09313671395617347),0.1693,16.9,0.126,0.821,100.0(0.49087802420750504),0.2222,22.22,0.0,0.908,100.0(0.13114905500903087),0.325,32.5,0.013,0.958,99.8(0.2846880939215563),2.6498,264.41,0.062,0.693,99.3(0.11642667226371144),0.0212,2.11,0.248,0.756,0.04,0.807
cifar10,128,linf,zhang_2020_small,adv_lib_pgd_minimal,99.9(0.09297192552037314),0.2251,22.47,0.134,0.802,100.0(0.49087802420750504),0.2606,26.06,0.0,0.958,99.9(0.1314347433048217),0.2465,24.63,0.019,0.785,99.9(0.28450056383521843),0.8467,84.61,0.078,0.772,99.7(0.11375498778755407),0.0238,2.37,0.22,0.848,0.088,0.802
cifar10,128,linf,zhang_2020_small,ta_pgd_minimal,99.6(0.09466766244380193),0.2305,22.96,0.129,0.814,99.9(0.4907703736843405),0.258,25.76,0.0,0.926,100.0(0.1310915872532526),0.3298,32.98,0.013,0.952,98.5(0.28619902191304036),1.0994,108.34,0.055,0.681,94.8(0.13914730539017117),0.0234,2.21,0.247,0.75,0.028,0.799
cifar10,128,linf,zhang_2020_small,art_fgm_minimal,91.5(0.13993040857622258),0.2415,22.1,0.148,0.698,97.3(0.4882861221696896),0.2559,24.91,0.0,0.848,99.3(0.13441860462594485),0.2915,28.96,0.014,0.907,97.4(0.28749929635971977),0.8852,86.21,0.052,0.755,92.7(0.14797734417968791),0.0254,2.36,0.216,0.783,0.002,0.786
cifar10,128,linf,zhang_2020_small,ch_fgm_minimal,91.5(0.13993040857622258),0.2415,22.1,0.148,0.698,97.3(0.4882861221696896),0.2559,24.91,0.0,0.848,99.3(0.13441860462594485),0.2915,28.96,0.014,0.907,97.4(0.28749929635971977),0.8852,86.21,0.052,0.755,92.7(0.14797734417968791),0.0254,2.36,0.216,0.783,0.001,0.786
