Dataset;$\ell_p$;Source Model;Library;Attack Name;C1 ASR;C1 Optimality;C2 ASR;C2 Optimality;C3 ASR;C3 Optimality;C4 ASR;C4 Optimality;C5 ASR;C5 Optimality;C6  ASR;C6 Optimality;C7 ASR;C7 Optimality
cifar10;$\ell_1$;C5;ART;\hornetwrap{FGM};86.8;0.388;86.8;0.76;96.8;0.614;95.9;0.763;84.2;0.27;;;;
cifar10;$\ell_1$;C5;Foolbox;\hornetwrap{FGM};86.8;0.388;86.8;0.76;96.8;0.614;96.0;0.763;84.2;0.27;;;;
cifar10;$\ell_1$;C5;CleverHans;\hornetwrap{FGM};1.4;0.016;0.7;0.007;2.4;0.027;5.9;0.063;1.4;0.016;;;;
cifar10;$\ell_1$;E;Original;\hornetwrap{APGD};100.0;0.961;100.0;0.964;100.0;0.976;100.0;0.947;100.0;0.967;86.0;0.862;78.9;0.803
cifar10;$\ell_1$;E;AdvLib;\hornetwrap{APGD};100.0;0.926;100.0;0.855;100.0;0.96;100.0;0.85;99.8;0.918;;;;
cifar10;$\ell_1$;E;Foolbox;\hornetwrap{PGD};100.0;0.775;99.7;0.785;100.0;0.937;100.0;0.883;99.9;0.809;83.7;0.845;71.3;0.727
cifar10;$\ell_1$;E;ART;\hornetwrap{BIM};100.0;0.827;91.6;0.847;100.0;0.927;99.8;0.924;65.8;0.625;;;;
cifar10;$\ell_1$;E;Foolbox;\hornetwrap{BIM};100.0;0.741;99.9;0.782;100.0;0.929;100.0;0.87;99.5;0.778;81.2;0.819;67.4;0.69
cifar10;$\ell_1$;E;ART;\hornetwrap{PGD};99.7;0.821;83.1;0.795;99.9;0.924;98.5;0.919;32.0;0.336;;;;
cifar10;$\ell_1$;E;Foolbox;\hornetwrap{FGM};99.6;0.514;93.9;0.758;100.0;0.909;99.1;0.774;98.7;0.749;56.0;0.569;55.2;0.564
cifar10;$\ell_1$;E;ART;\hornetwrap{FGM};99.6;0.514;93.8;0.758;100.0;0.909;99.2;0.775;98.7;0.748;;;;
cifar10;$\ell_1$;E;CleverHans;\hornetwrap{FGM};2.8;0.031;1.1;0.012;5.6;0.058;11.9;0.129;0.8;0.009;;;;
cifar10;$\ell_0$;C1;Original;\hornetwrap{PGD$_0$};100.0;1.0;95.7;1.0;99.4;1.0;100.0;1.0;90.6;1.0;74.5;1.0;61.0;1.0
cifar10;$\ell_0$;C2;Original;\hornetwrap{PGD$_0$};99.9;1.0;100.0;1.0;100.0;1.0;99.0;1.0;90.6;1.0;74.6;1.0;58.0;1.0
cifar10;$\ell_0$;C3;Original;\hornetwrap{PGD$_0$};100.0;1.0;93.2;1.0;100.0;1.0;99.9;1.0;91.3;1.0;;;;
cifar10;$\ell_0$;C4;Original;\hornetwrap{PGD$_0$};100.0;1.0;100.0;1.0;100.0;1.0;100.0;1.0;100.0;1.0;;;;
cifar10;$\ell_0$;C5;Original;\hornetwrap{PGD$_0$};100.0;1.0;99.2;1.0;100.0;1.0;100.0;1.0;100.0;1.0;;;;
cifar10;$\ell_0$;E;Original;\hornetwrap{PGD$_0$};100.0;1.0;100.0;1.0;100.0;1.0;100.0;1.0;100.0;1.0;93.3;1.0;82.3;1.0
cifar10;$\ell_\infty$;C1;CleverHans;\hornetwrap{PGD};100.0;0.731;93.5;0.914;99.9;0.934;97.8;0.822;93.5;0.963;69.5;0.67;53.5;0.51
